antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'32307'}),frozenset({'49006'}),0.2530002200443474,0.999932294046954,0.2529832935560859,0.9999330969425302,1.0000008029499405,2.03132757448099e-07,1.0120008801764775,1.0748989725246956e-06
frozenset({'49006'}),frozenset({'42307'}),0.999932294046954,0.2530002200443474,0.2529832935560859,0.2530004231908591,1.0000008029499405,2.03132757448099e-07,1.000000271949969,0.011859360363860167
frozenset({'42307'}),frozenset({'49006'}),0.2530002200443474,0.999932294046954,0.2529832935560859,0.9999330969425302,1.0000008029499405,2.03132757448099e-07,1.0120008801764775,1.0748989725246956e-06
frozenset({'49006'}),frozenset({'42308'}),0.999932294046954,0.2530002200443474,0.2529832935560859,0.2530004231908591,1.0000008029499405,2.03132757448099e-07,1.000000271949969,0.011859360363860167
frozenset({'42308'}),frozenset({'49006'}),0.2530002200443474,0.999932294046954,0.2529832935560859,0.9999330969425302,1.0000008029499405,2.03132757448099e-07,1.0120008801764775,1.0748989725246956e-06
frozenset({'31602'}),frozenset({'49032'}),0.33917297178354405,1.0,0.33917297178354405,1.0,1.0,0.0,inf,0.0
frozenset({'49032'}),frozenset({'31602'}),1.0,0.33917297178354405,0.33917297178354405,0.33917297178354405,1.0,0.0,1.0,0.0
frozenset({'49032'}),frozenset({'32805'}),1.0,0.18656375361803687,0.18656375361803687,0.18656375361803687,1.0,0.0,1.0,0.0
frozenset({'32805'}),frozenset({'49032'}),0.18656375361803687,1.0,0.18656375361803687,1.0,1.0,0.0,inf,0.0
frozenset({'49032'}),frozenset({'41607'}),1.0,0.33917297178354405,0.33917297178354405,0.33917297178354405,1.0,0.0,1.0,0.0
frozenset({'41607'}),frozenset({'49032'}),0.33917297178354405,1.0,0.33917297178354405,1.0,1.0,0.0,inf,0.0
frozenset({'41608'}),frozenset({'49032'}),0.33917297178354405,1.0,0.33917297178354405,1.0,1.0,0.0,inf,0.0
frozenset({'49032'}),frozenset({'41608'}),1.0,0.33917297178354405,0.33917297178354405,0.33917297178354405,1.0,0.0,1.0,0.0
frozenset({'42807'}),frozenset({'49032'}),0.18656375361803687,1.0,0.18656375361803687,1.0,1.0,0.0,inf,0.0
frozenset({'49032'}),frozenset({'42807'}),1.0,0.18656375361803687,0.18656375361803687,0.18656375361803687,1.0,0.0,1.0,0.0
